step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,gamma,lambda_ctx
4350,4,0.036849,4.6527,0.0000,0,0,0,0.9,0.0
4400,4,0.055125,4.6224,0.0029,0,0,0,0.9,0.0
4450,4,0.041986,4.6527,0.0000,0,0,0,0.9,0.0
4500,4,0.041846,4.6104,0.0763,0,0,0,0.9,0.0
4550,4,0.027252,4.6527,0.0000,0,0,0,0.9,0.0
4600,4,0.019191,4.6527,0.0000,0,0,0,0.9,0.0
4650,4,0.031606,4.6527,0.0464,0,0,0,0.9,0.0
4700,4,0.043626,4.6367,0.0321,0,0,0,0.9,0.0
4750,4,0.040559,4.6527,0.0000,0,0,0,0.9,0.0
4800,4,0.031940,4.6527,0.0166,0,0,0,0.9,0.0
4850,4,0.033952,4.6390,0.0000,0,0,0,0.9,0.0
4900,4,0.062301,4.5450,0.0418,0,0,0,0.9,0.0
4950,4,0.029526,4.6230,-0.0125,0,0,0,0.9,0.0
5000,4,0.026792,4.6373,0.0000,0,0,0,0.9,0.0
5050,4,0.023082,4.6384,0.0000,0,0,0,0.9,0.0
5100,4,0.051987,4.6218,0.0874,0,0,0,0.9,0.0
5150,4,0.028141,4.6527,0.0160,0,0,0,0.9,0.0
5200,4,0.024406,4.6527,0.0143,0,0,0,0.9,0.0
5250,4,0.035936,4.5942,-0.0294,0,0,0,0.9,0.0
5300,4,0.041697,4.5884,-0.0494,0,0,0,0.9,0.0
5350,4,0.050707,4.6379,0.0302,0,0,0,0.9,0.0
5400,4,0.045581,4.6527,0.0137,0,0,0,0.9,0.0
5450,4,0.034039,4.6379,0.0137,0,0,0,0.9,0.0
5500,4,0.035464,4.5744,0.0000,0,0,0,0.9,0.0
5550,4,0.019500,4.6188,0.0000,0,0,0,0.9,0.0
5600,4,0.035908,4.6527,0.0000,0,0,0,0.9,0.0
5650,4,0.034132,4.6379,0.0149,0,0,0,0.9,0.0
5700,4,0.036516,4.6242,0.0000,0,0,0,0.9,0.0
5750,4,0.029156,4.6527,0.0000,0,0,0,0.9,0.0
5800,4,0.019580,4.4775,0.0000,0,0,0,0.9,0.0
5850,4,0.029496,4.6070,-0.0177,0,0,0,0.9,0.0
5900,4,0.024599,4.6527,0.0000,0,0,0,0.9,0.0
5950,4,0.022754,4.6527,0.0000,0,0,0,0.9,0.0
6000,4,0.034369,4.6379,-0.0006,0,0,0,0.9,0.0
6050,4,0.020334,4.3081,0.0000,0,0,0,0.9,0.0
6100,4,0.034154,4.6527,0.0000,0,0,0,0.9,0.0
6150,4,0.015514,4.6052,0.0000,0,0,0,0.9,0.0
6200,4,0.039074,4.6212,0.0154,0,0,0,0.9,0.0
6250,4,0.027848,4.6361,0.0000,0,0,0,0.9,0.0
6300,4,0.053446,4.5736,0.0000,0,0,0,0.9,0.0
6350,4,0.015639,4.6527,0.0000,0,0,0,0.9,0.0
6400,4,0.018708,4.6230,0.0166,0,0,0,0.9,0.0
6450,4,0.024923,4.6384,0.0000,0,0,0,0.9,0.0
6500,4,0.017367,4.2902,0.0000,0,0,0,0.9,0.0
6550,4,0.019477,4.6212,0.0000,0,0,0,0.9,0.0
6600,4,0.023516,4.6217,0.0000,0,0,0,0.9,0.0
6650,4,0.015427,4.5370,0.0000,0,0,0,0.9,0.0
6700,4,0.037040,4.6527,0.0000,0,0,0,0.9,0.0
6750,4,0.014075,4.3395,0.0000,0,0,0,0.9,0.0
6800,4,0.013653,4.6093,0.0000,0,0,0,0.9,0.0
6850,4,0.034962,4.5440,-0.0154,0,0,0,0.9,0.0
6900,4,0.033517,4.6077,0.0000,0,0,0,0.9,0.0
6950,4,0.037603,4.5385,-0.0748,0,0,0,0.9,0.0
7000,4,0.023805,4.6354,0.0000,0,0,0,0.9,0.0
7050,4,0.020394,4.1339,0.0160,0,0,0,0.9,0.0
7100,4,0.022017,4.4159,0.0000,0,0,0,0.9,0.0
7150,4,0.011004,4.1914,0.0000,0,0,0,0.9,0.0
7200,4,0.025006,4.6527,0.0000,0,0,0,0.9,0.0
7250,4,0.026924,4.6373,0.0309,0,0,0,0.9,0.0
7300,4,0.019409,4.5923,0.0000,0,0,0,0.9,0.0
7350,4,0.027127,4.4110,0.0000,0,0,0,0.9,0.0
7400,4,0.025559,4.6527,0.0000,0,0,0,0.9,0.0
7450,4,0.020602,4.5101,0.0000,0,0,0,0.9,0.0
7500,4,0.025372,4.6361,0.0143,0,0,0,0.9,0.0
7550,4,0.029569,4.6253,-0.0137,0,0,0,0.9,0.0
7600,4,0.012261,4.4565,0.0000,0,0,0,0.9,0.0
7650,4,0.027491,4.5307,0.0000,0,0,0,0.9,0.0
7700,4,0.019983,4.1608,0.0000,0,0,0,0.9,0.0
7750,4,0.012854,3.8108,0.0000,0,0,0,0.9,0.0
7800,4,0.033292,4.5046,0.0024,0,0,0,0.9,0.0
7850,4,0.010764,3.8886,0.0000,0,0,0,0.9,0.0
7900,4,0.016570,4.5508,0.0000,0,0,0,0.9,0.0
7950,4,0.026014,4.5867,0.0154,0,0,0,0.9,0.0
8000,4,0.013322,4.1014,0.0000,0,0,0,0.9,0.0
8050,4,0.026642,4.4088,0.0000,0,0,0,0.9,0.0
8100,4,0.024708,4.3340,0.0137,0,0,0,0.9,0.0
8150,4,0.009927,3.9776,0.0000,0,0,0,0.9,0.0
8200,4,0.041846,4.1411,0.0000,0,0,0,0.9,0.0
8250,4,0.015020,4.3829,0.0000,0,0,0,0.9,0.0
8300,4,0.028329,4.4716,-0.0417,0,0,0,0.9,0.0
8350,4,0.023948,4.5194,0.0000,0,0,0,0.9,0.0
8400,4,0.010683,4.1317,0.0000,0,0,0,0.9,0.0
8450,4,0.019070,4.4452,0.0000,0,0,0,0.9,0.0
8500,4,0.011774,3.4800,0.0000,0,0,0,0.9,0.0
8550,4,0.040065,4.4980,0.0025,0,0,0,0.9,0.0
8600,4,0.024010,4.4563,0.0017,0,0,0,0.9,0.0
8650,4,0.013064,4.5744,0.0000,0,0,0,0.9,0.0
8700,4,0.018145,3.6288,0.0000,0,0,0,0.9,0.0
8750,4,0.046580,4.4606,-0.0103,0,0,0,0.9,0.0
8800,4,0.019049,3.8533,0.0000,0,0,0,0.9,0.0
8850,4,0.011616,3.8053,0.0000,0,0,0,0.9,0.0
8900,4,0.021493,4.3569,0.0000,0,0,0,0.9,0.0
8950,4,0.010753,4.2305,-0.0143,0,0,0,0.9,0.0
9000,4,0.022575,4.1499,0.0000,0,0,0,0.9,0.0
9050,4,0.009619,3.8140,0.0000,0,0,0,0.9,0.0
9100,4,0.024878,4.6076,0.0000,0,0,0,0.9,0.0
9150,4,0.016508,4.3374,0.0000,0,0,0,0.9,0.0
9200,4,0.030155,4.2773,0.0148,0,0,0,0.9,0.0
9250,4,0.012619,3.6924,0.0000,0,0,0,0.9,0.0
9300,4,0.020799,4.3576,0.0000,0,0,0,0.9,0.0
9350,4,0.024685,3.9365,0.0000,0,0,0,0.9,0.0
9400,4,0.025714,4.4199,0.0000,0,0,0,0.9,0.0
9450,4,0.040058,4.4704,0.0114,0,0,0,0.9,0.0
9500,4,0.019166,4.5334,0.0000,0,0,0,0.9,0.0
9550,4,0.020212,4.3702,0.0000,0,0,0,0.9,0.0
9600,4,0.010766,3.9796,0.0000,0,0,0,0.9,0.0
9650,4,0.008490,3.2845,0.0000,0,0,0,0.9,0.0
9700,4,0.010401,3.9226,0.0315,0,0,0,0.9,0.0
9750,4,0.022142,4.5796,0.0000,0,0,0,0.9,0.0
9800,4,0.009991,3.9088,0.0000,0,0,0,0.9,0.0
9850,4,0.011402,4.5460,0.0000,0,0,0,0.9,0.0
9900,4,0.028764,4.4703,0.0000,0,0,0,0.9,0.0
9950,4,0.012327,4.2791,0.0000,0,0,0,0.9,0.0
10000,4,0.008526,3.7326,0.0000,0,0,0,0.9,0.0
10050,4,0.013754,4.2980,-0.0148,0,0,0,0.9,0.0
10100,4,0.010196,3.6057,0.0000,0,0,0,0.9,0.0
10150,4,0.014693,4.3105,0.0148,0,0,0,0.9,0.0
10200,4,0.018650,4.5070,0.0000,0,0,0,0.9,0.0
10250,4,0.013428,4.4354,0.0000,0,0,0,0.9,0.0
10300,4,0.020911,3.6436,0.0000,0,0,0,0.9,0.0
