step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed
5600,4,0.016353,4.6275,0.0000,0,0,0
5650,4,0.010443,4.4286,0.0000,0,0,0
5700,4,0.020664,4.6224,-0.0142,0,0,0
5750,4,0.011165,4.5051,0.0000,0,0,0
5800,4,0.015483,4.5164,-0.0166,0,0,0
5850,4,0.015973,4.6057,0.0000,0,0,0
5900,4,0.013321,3.5480,0.0000,0,0,0
5950,4,0.012008,4.6021,0.0000,0,0,0
6000,4,0.011851,4.4006,0.0000,0,0,0
6050,4,0.018810,4.4570,0.0000,0,0,0
6100,4,0.014909,3.9447,0.0000,0,0,0
6150,4,0.012133,4.5176,0.0000,0,0,0
6200,4,0.023703,4.6052,-0.0160,0,0,0
6250,4,0.014074,4.5044,0.0000,0,0,0
6300,4,0.008828,4.2942,0.0000,0,0,0
6350,4,0.013579,4.3150,0.0000,0,0,0
6400,4,0.010520,4.0807,0.0000,0,0,0
6450,4,0.011589,3.8829,0.0000,0,0,0
6500,4,0.017401,4.5058,-0.0154,0,0,0
6550,4,0.011521,3.6883,0.0000,0,0,0
6600,4,0.014393,4.5921,0.0000,0,0,0
6650,4,0.014902,4.5633,0.0000,0,0,0
6700,4,0.011622,4.3744,0.0000,0,0,0
6750,4,0.008883,3.3170,0.0000,0,0,0
6800,4,0.017446,4.6527,0.0000,0,0,0
6850,4,0.014762,4.5868,0.0000,0,0,0
6900,4,0.008172,3.9213,0.0000,0,0,0
6950,4,0.020993,4.6200,-0.0018,0,0,0
7000,4,0.012175,4.3038,0.0000,0,0,0
7050,4,0.019036,4.5631,-0.0307,0,0,0
7100,4,0.010856,3.4148,0.0000,0,0,0
7150,4,0.016081,4.3522,-0.0297,0,0,0
7200,4,0.021163,4.3358,-0.0154,0,0,0
7250,4,0.010135,4.5537,0.0000,0,0,0
7300,4,0.013035,4.4607,0.0000,0,0,0
7350,4,0.013526,4.4104,0.0000,0,0,0
7400,4,0.007241,3.3927,0.0000,0,0,0
