step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,gamma
4900,4,0.019635,4.6361,-0.0166,0,0,0,0.9
4950,4,0.009906,4.6527,0.0000,0,0,0,0.9
5000,4,0.014946,4.6527,0.0179,0,0,0,0.9
5050,4,0.010827,4.6527,0.0000,0,0,0,0.9
5100,4,0.013541,4.6527,0.0160,0,0,0,0.9
5150,4,0.014922,4.6527,0.0143,0,0,0,0.9
5200,4,0.010104,4.6527,0.0000,0,0,0,0.9
5250,4,0.013887,4.6527,0.0000,0,0,0,0.9
5300,4,0.014851,4.6206,-0.0321,0,0,0,0.9
5350,4,0.009689,4.6253,0.0000,0,0,0,0.9
5400,4,0.018441,4.6527,0.0000,0,0,0,0.9
5450,4,0.016658,4.6527,0.0143,0,0,0,0.9
5500,4,0.017469,4.6527,0.0000,0,0,0,0.9
5550,4,0.015843,4.6527,0.0000,0,0,0,0.9
5600,4,0.015990,4.6527,0.0000,0,0,0,0.9
5650,4,0.009469,4.6527,0.0000,0,0,0,0.9
5700,4,0.016888,4.6527,0.0000,0,0,0,0.9
5750,4,0.009328,4.6259,0.0000,0,0,0,0.9
5800,4,0.010194,4.6527,0.0000,0,0,0,0.9
5850,4,0.012713,4.6527,0.0000,0,0,0,0.9
5900,4,0.009439,4.6527,0.0000,0,0,0,0.9
5950,4,0.011707,4.6527,0.0000,0,0,0,0.9
6000,4,0.009023,4.6527,0.0000,0,0,0,0.9
6050,4,0.013695,4.6527,0.0000,0,0,0,0.9
6100,4,0.015026,4.6384,0.0000,0,0,0,0.9
6150,4,0.012776,4.6384,0.0000,0,0,0,0.9
6200,4,0.020913,4.6527,0.0291,0,0,0,0.9
6250,4,0.008676,4.6527,0.0000,0,0,0,0.9
6300,4,0.054053,4.6527,0.0000,0,0,0,0.9
6350,4,0.009797,4.6527,0.0172,0,0,0,0.9
6400,4,0.010146,4.6527,0.0000,0,0,0,0.9
6450,4,0.013821,4.6527,0.0000,0,0,0,0.9
6500,4,0.057047,4.6390,-0.0137,0,0,0,0.9
6550,4,0.018247,4.6527,0.0185,0,0,0,0.9
6600,4,0.016960,4.6390,-0.0137,0,0,0,0.9
6650,4,0.011665,4.6527,0.0000,0,0,0,0.9
6700,4,0.021476,4.6527,0.0745,0,0,0,0.9
6750,4,0.007497,4.6527,0.0148,0,0,0,0.9
6800,4,0.009697,4.6527,0.0000,0,0,0,0.9
6850,4,0.023163,4.6367,-0.0012,0,0,0,0.9
6900,4,0.014812,4.6527,0.0126,0,0,0,0.9
6950,4,0.015477,4.6361,-0.0029,0,0,0,0.9
7000,4,0.012415,4.6373,-0.0154,0,0,0,0.9
7050,4,0.009671,4.6384,0.0000,0,0,0,0.9
