step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,alpha,lambda_ctx
4200,3,1.019516,3.2831,0.1839,0,0,0,0.0000,0.5
4250,3,1.030032,2.7957,-0.0168,0,0,0,0.0000,0.5
4300,3,0.879871,2.6552,0.0216,0,0,0,0.0000,0.5
4350,4,0.213075,4.4622,0.0456,0,0,0,0.0000,0.0
4400,4,0.202765,4.2743,-0.0561,0,0,0,0.0000,0.0
4450,4,0.199941,4.3468,0.2447,0,0,0,0.0000,0.0
4500,4,0.230745,4.1100,-0.0296,0,0,0,0.0000,0.0
4550,4,0.184547,4.4178,0.0248,0,0,0,0.0000,0.0
4600,4,0.198016,4.3094,0.1546,0,0,0,0.0000,0.0
4650,4,0.180186,4.4233,0.0782,0,0,0,0.0000,0.0
4700,4,0.170299,4.2009,-0.1818,0,0,0,0.0000,0.0
4750,4,0.172189,4.3626,0.0906,0,0,0,0.0000,0.0
4800,4,0.163973,4.5330,0.0696,0,0,0,0.0000,0.0
4850,4,0.189659,4.2585,-0.2565,0,0,0,0.0000,0.0
4900,4,0.186392,4.2310,-0.0767,0,0,0,0.0000,0.0
4950,4,0.186756,4.0360,0.1617,0,0,0,0.0000,0.0
5000,4,0.197191,4.5454,0.3040,0,0,0,0.0000,0.0
5050,4,0.208599,4.0470,0.0701,0,0,0,0.0000,0.0
5100,4,0.176754,4.5484,-0.0431,0,0,0,0.0000,0.0
5150,4,0.167710,4.3357,-0.0340,0,0,0,0.0000,0.0
5200,4,0.179283,4.4427,-0.0081,0,0,0,0.0000,0.0
5250,4,0.177649,4.1061,0.1220,0,0,0,0.0000,0.0
5300,4,0.181198,4.4422,0.0663,0,0,0,0.0000,0.0
5350,4,0.179088,4.3398,0.0632,0,0,0,0.0000,0.0
5400,4,0.221358,3.9842,0.1573,0,0,0,0.0000,0.0
5450,4,0.201872,4.2377,0.0179,0,0,0,0.0000,0.0
5500,4,0.192003,4.1825,0.0502,0,0,0,0.0000,0.0
5550,4,0.205040,4.2259,-0.1513,0,0,0,0.0000,0.0
5600,4,0.224983,4.0968,0.0990,0,0,0,0.0000,0.0
5650,4,0.252191,3.4921,0.0982,0,0,0,0.0000,0.0
5700,4,0.187097,4.1819,0.1749,0,0,0,0.0000,0.0
5750,4,0.227542,3.7071,-0.1386,0,0,0,0.0000,0.0
5800,4,0.203386,4.0130,-0.1191,0,0,0,0.0000,0.0
5850,4,0.228376,4.1406,0.0864,0,0,0,0.0000,0.0
5900,4,0.196546,4.1539,0.1158,0,0,0,0.0000,0.0
5950,4,0.223947,3.8921,-0.0920,0,0,0,0.0000,0.0
6000,4,0.190266,4.2131,0.2196,0,0,0,0.0000,0.0
6050,4,0.222933,3.8692,0.1014,0,0,0,0.0000,0.0
6100,4,0.240002,3.9802,0.1537,0,0,0,0.0000,0.0
6150,4,0.240698,3.9278,0.0805,0,0,0,0.0000,0.0
6200,4,0.211869,3.9847,0.0126,0,0,0,0.0000,0.0
