step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,alpha,lambda_ctx
19850,4,0.070059,4.6527,0.0423,0,0,0,0.0000,0.0
19900,4,0.057443,4.5928,-0.0171,0,0,0,0.0000,0.0
19950,4,0.045691,4.6379,0.0018,0,0,0,0.0000,0.0
20000,4,0.062771,4.6384,0.0143,0,0,0,0.0000,0.0
20050,4,0.048828,4.6379,-0.0011,0,0,0,0.0000,0.0
20100,4,0.072330,4.5187,-0.0170,0,0,0,0.0000,0.0
20150,4,0.068095,4.6034,-0.0202,0,0,0,0.0000,0.0
20200,4,0.062897,4.6212,0.0820,0,0,0,0.0000,0.0
20250,4,0.052274,4.6527,0.0121,0,0,0,0.0000,0.0
20300,4,0.063673,4.5867,0.0554,0,0,0,0.0000,0.0
